"CountyID","CountyName","ReferralYear","Rate","LabelLongitude","LabelLatitude","RateRank"
42,"Logan",2011,0.74,-97.4379547025155,35.9055803786812,54.5
43,"Love",2011,1.05,-97.2337960481928,34.0006399600389,73
47,"Major",2011,0,-98.524560069483,36.3106916876361,14
48,"Marshall",2011,0.78,-96.7563551232226,34.0264118585759,57.5
49,"Mayes",2011,2.1,-95.2377239906663,36.3337424158728,191.5
44,"McClain",2011,2.6,-97.4331745941108,35.0031201393918,245.5
45,"McCurtain",2011,0.57,-94.7840344331028,34.1452341840507,44
46,"McIntosh",2011,1.74,-95.6644800921539,35.398840067242,138.5
50,"Murray",2011,3,-97.0572913816591,34.4888457946869,297.5
51,"Muskogee",2011,2.4,-95.3855658011359,35.6427027662025,230
52,"Noble",2011,0.88,-97.2279763724569,36.3855065817112,60.5
53,"Nowata",2011,2.64,-95.6260913238725,36.8198423472456,252
54,"Okfuskee",2011,5.64,-96.3097295106855,35.4641810903221,404
55,"Oklahoma",2011,3,-97.4049770992058,35.5394523331614,297.5
56,"Okmulgee",2011,4.06,-95.9607718994239,35.6570209142237,359
57,"Osage",2011,1.9,-96.4045798127983,36.634052844886,160
58,"Ottawa",2011,1.28,-94.8180540321859,36.8552992868479,89
59,"Pawnee",2011,2.08,-96.6990049468818,36.3168088803122,184
60,"Payne",2011,1.67,-96.9751478239377,36.0693458141458,128.5
61,"Pittsburg",2011,2,-95.7439797251411,34.9488015969789,175
62,"Pontotoc",2011,4.79,-96.674562329413,34.7307576005793,386
63,"Pottawatomie",2011,3.94,-96.9445206954569,35.3015638806384,354
64,"Pushmataha",2011,4.09,-95.3842741209906,34.4497873058268,365
65,"Roger Mills",2011,NA,-99.6999273109391,35.6831343827393,456
66,"Rogers",2011,2.37,-95.6121330018314,36.3979046759883,227.5
67,"Seminole",2011,4.96,-96.6001413613621,35.1681506005071,392.5
68,"Sequoyah",2011,0.73,-94.760490800755,35.5205440172208,53
69,"Stephens",2011,3.32,-97.8463715950095,34.4843230918468,321
70,"Texas",2011,2.02,-101.477803361668,36.7450721534074,177.5
71,"Tillman",2011,NA,-98.921205231615,34.3753490926514,457
72,"Tulsa",2011,2.61,-95.9428049690609,36.1338366907781,247.5
73,"Wagoner",2011,2.37,-95.5384179113774,35.9858739766272,227.5
74,"Washington",2011,2.2,-95.9132782566878,36.7270298442834,210
75,"Washita",2011,1.19,-98.9917075036666,35.2907305029854,85.5
76,"Woods",2011,1.85,-98.8729461327617,36.7708675261212,152.5
77,"Woodward",2011,5.94,-99.260005758032,36.416401211778,414
1,"Adair",2012,1.88,-94.6641458915974,35.9069668367649,157
2,"Alfalfa",2012,4.09,-98.32320857933,36.7309255630188,365
3,"Atoka",2012,1.76,-96.0420499703509,34.3809870625568,143
4,"Beaver",2012,NA,-100.474745176143,36.7458468405142,458
5,"Beckham",2012,1.56,-99.686661710574,35.2696357540839,117
6,"Blaine",2012,2.44,-98.4243959224942,35.8688113906142,234.5
7,"Bryan",2012,5.72,-96.2558008293072,33.9616831096468,406
8,"Caddo",2012,4.34,-98.3718783669626,35.177793720151,371
9,"Canadian",2012,2.1,-97.9753768794938,35.5340567548489,191.5
10,"Carter",2012,7.08,-97.2729492125733,34.2546712262712,426
11,"Cherokee",2012,3.14,-95.0103824561735,35.9355360744063,309
12,"Choctaw",2012,1.39,-95.5473573813567,34.0538123875066,99
13,"Cimarron",2012,4.48,-102.512063683289,36.7373650133402,377
14,"Cleveland",2012,2.05,-97.3299363042633,35.2012061949784,181
15,"Coal",2012,1.7,-96.2861224539074,34.5953455038142,134
